url,address,city_state_zip,full_address,lat,lon,address2,housing_type,baths,beds,sqft,soundscore,noise,central_air,date_sold,garage,lot_size,patio,porch, sold_price ,year_built
https://www.redfin.com/TX/Austin/14-Kern-Ramble-St-78722/home/31402544,"14 Kern Ramble St,","Austin, TX 78722","14 Kern Ramble St,Austin, TX 78722",30.28971,-97.7163,,House,2,2,1108,71,Moderate Noise,Y,2/15/2019,Y,6926,Y,Y,470000,1946
https://www.redfin.com/TX/Austin/1505-Edgewood-Ave-78722/home/31402346,1505 Edgewood Ave,"Austin, TX 78722","1505 Edgewood AveAustin, TX 78722",30.2885,-97.7176,,House,1.5,3,1715,71,Moderate Noise,N,5/13/2019,N,10062,Y,Y,535921,1950
https://www.redfin.com/TX/Austin/1600-Concordia-Ave-78722/home/31402349,1600 Concordia Ave,"Austin, TX 78722","1600 Concordia AveAustin, TX 78722",30.2904,-97.7153,,House,2,2,1475,71,Moderate Noise,Y,10/5/2018,Y,14375,Y,Y,650000,1956
https://www.redfin.com/TX/Austin/2006-Poquito-St-78722/home/31389025,2006 Poquito St,"Austin, TX 78722","2006 Poquito StAustin, TX 78722",30.28143,-97.7207,,House,1,2,720,71,Moderate Noise,Y,6/28/2019,N,6342,Y,Y,393780,1935
https://www.redfin.com/TX/Austin/3102-Breeze-Ter-78722/home/31396096,3102 Breeze Ter,"Austin, TX 78722","3102 Breeze TerAustin, TX 78722",30.28679,-97.7184,,House,1,2,1061,71,Moderate Noise,Y,12/29/2017,N,8189,N,N,500000,1948
https://www.redfin.com/TX/Austin/3506-Clarkson-Ave-78722/home/31402366,"3506 Clarkson Ave,","Austin, TX 78722","3506 Clarkson Ave,Austin, TX 78722",30.29067,-97.7151,,House,1,2,756,71,Moderate Noise,Y,10/31/2018,N,7231,N,Y,318500,1947
https://www.redfin.com/TX/Austin/3706-Cherrywood-Rd-78722/home/31402412,3706 Cherrywood Rd,"Austin, TX 78722","3706 Cherrywood RdAustin, TX 78722",30.29102,-97.7143,,House,2.5,3,1356,71,Moderate Noise,Y,5/24/2019,N,7536,N,Y,615000,1950
https://www.redfin.com/TX/Austin/2935-Moss-St-78722/unit-2/home/172720902,2935 Moss St ,"Austin, TX 78722","2935 Moss St  Austin, TX 78722",30.28475,-97.70679,"#2,",House,2.5,2,862,72,Moderate Noise,Y,9/17/2020,Y,5881,N,N,395000,2020
https://www.redfin.com/TX/Austin/3807-Grayson-Ln-78722/home/31403091,"3807 Grayson Ln,","Austin, TX 78722","3807 Grayson Ln, Austin, TX 78722",30.28921,-97.70855,,House,2,3,1152,72,Moderate Noise,Y,2/26/2021,Y,8276,Y,Y,560000,1950
https://www.redfin.com/TX/Austin/3505-Banton-Rd-78722/unit-A/home/101639375,3505 Banton Rd ,"Austin, TX 78722","3505 Banton Rd  Austin, TX 78722",30.28737,-97.70815,Unit A,House,2.5,3,1576,72,Moderate Noise,Y,10/5/2020,Y,4182,Y,Y,595000,2015
https://www.redfin.com/TX/Austin/3201-Larry-Ln-78722/unit-B/home/144003910,3201 Larry Ln ,"Austin, TX 78722","3201 Larry Ln  Austin, TX 78722",30.28547,-97.71279,"Unit B,",House,2.5,3,1762,72,Moderate Noise,Y,8/18/2020,Y,5009,Y,Y,599000,2015
https://www.redfin.com/TX/Austin/2002-Alamo-St-78722/home/31388977,"2002 Alamo St,","Austin, TX 78722","2002 Alamo St, Austin, TX 78722",30.28134,-97.71971,,House,3.5,3,2455,72,Moderate Noise,Y,1/29/2021,Y,4400,Y,Y,939000,2020
https://www.redfin.com/TX/Austin/1703-Giles-St-78722/home/31402381,"1703 Giles St,","Austin, TX 78722","1703 Giles St,Austin, TX 78722",30.29035,-97.714,,House,1,2,809,72,Moderate Noise,N,1/2/2019,N,13068,N,N,387500,1947
https://www.redfin.com/TX/Austin/1813-E-39th-St-78722/home/31407613,1813 E 39th St,"Austin, TX 78722","1813 E 39th StAustin, TX 78722",30.29019,-97.7087,,House,2,3,1575,72,Moderate Noise,Y,5/14/2020,Y,10542,Y,N,500000,1954
https://www.redfin.com/TX/Austin/2511-Givens-Ave-78722/unit-1/home/31391998,"2511 Givens Ave,",", Austin, TX 78722","2511 Givens Ave,, Austin, TX 78722",30.28145,-97.7149,,House,1,3,1137,72,Moderate Noise,Y,2/7/2020,N,6926,N,N,400000,1959
https://www.redfin.com/TX/Austin/3301-Cherrywood-Rd-78722/home/31402416,3301 Cherrywood Rd,"Austin, TX 78722","3301 Cherrywood RdAustin, TX 78722",30.28796,-97.7157,,House,2,3,1378,72,Moderate Noise,Y,12/28/2018,Y,8727,N,Y,387500,1953
https://www.redfin.com/TX/Austin/3312-Cherrywood-Rd-78722/home/31402319,3312 Cherrywood Rd,"Austin, TX 78722","3312 Cherrywood RdAustin, TX 78722",30.28911,-97.7156,,House,2.5,3,2045,72,Moderate Noise,Y,8/30/2019,Y,7153,Y,Y,745000,1952
